issue_type,vendor,source_file,item_name,sku,gtin,category,default_unit_cost,price,details
overlap_review,Barrens,Barrens Pricelist 2025.csv,80B BLUE 3.00 GPH SOLID CONE NOZZLE,1366,,Barrens,12.71,,Exact item-name overlap '80BBLUE300GPHSOLIDCONENOZZLE': MPWSR | MPWSR Price List May '25.csv | 80B BLUE 3.00 GPH SOLID CONE NOZZLE | SKU=1366
overlap_review,Barrens,Barrens Pricelist 2025.csv,SUNTEC 12VDC COIL (GREEN),1523,,Barrens,22.39,,Exact item-name overlap 'SUNTEC12VDCCOILGREEN': MPWSR | MPWSR Price List May '25.csv | SUNTEC 12VDC COIL (GREEN) | SKU=1523
overlap_review,Barrens,Barrens Pricelist 2025.csv,GARDEN HOSE WASHER,1737,,Barrens,0.17,,Exact item-name overlap 'GARDENHOSEWASHER': MPWSR | MPWSR Price List May '25.csv | Garden hose washer | SKU=24.0095
overlap_review,Barrens,Barrens Pricelist 2025.csv,BRASS BUSHING 1/2 MPT X 1/4 FPT,2082,,Barrens,1.62,,Exact item-name overlap 'BRASSBUSHING12MPTX14FPT': MPWSR | MPWSR Price List May '25.csv | Brass bushing 1/2'' mpt x 1/4''fpt | SKU=28106L
overlap_review,Barrens,Barrens Pricelist 2025.csv,BRASS HEX NIPPLE 3/4 MPT X 1/2 MPT,2115,,Barrens,3.36,,Exact item-name overlap 'BRASSHEXNIPPLE34MPTX12MPT': MPWSR | MPWSR Price List May '25.csv | Brass hex nipple 3/4 mpt x 1/2 mpt | SKU=2115
overlap_review,Barrens,Barrens Pricelist 2025.csv,"SH 1 1/8"" BUSHING",3031,,Barrens,29.01,,Exact item-name overlap 'SH118BUSHING': MPWSR | MPWSR Price List May '25.csv | SH-1 1/8 BUSHING | SKU=3580
overlap_review,Barrens,Barrens Pricelist 2025.csv,48911 66DX SERIES OIL SEAL (NEED 3/PUMP),3081,,Barrens,8.11,,Exact item-name overlap '4891166DXSERIESOILSEALNEED3PUMP': MPWSR | MPWSR Price List May '25.csv | 48911 66DX SERIES OIL SEAL (NEED 3/PUMP) | SKU=3081
overlap_review,Barrens,Barrens Pricelist 2025.csv,"ACCESSORY KIT 1/4""x22mmx22mmx30' HOSE, 2 PC.GUN &",5418,,Barrens,62.37,,"Exact item-name overlap 'ACCESSORYKIT14X22MMX22MMX30HOSE2PCGUN': Barrens | Barrens Pricelist 2025.csv | ACCESSORY KIT 1/4""x22mmx22mmx30' HOSE, 2 PC GUN & | SKU=6132"
overlap_review,Barrens,Barrens Pricelist 2025.csv,MUFFLER ASSY GX240-270,5740,,Barrens,42.42,,Exact item-name overlap 'MUFFLERASSYGX240270': MPWSR | MPWSR Price List May '25.csv | Muffler Assy. GX240-270 | SKU=42.0102
overlap_review,Barrens,Barrens Pricelist 2025.csv,"ACCESSORY KIT 1/4""x22mmx22mmx30' HOSE, 2 PC GUN &",6132,,Barrens,50.98,,"Exact item-name overlap 'ACCESSORYKIT14X22MMX22MMX30HOSE2PCGUN': Barrens | Barrens Pricelist 2025.csv | ACCESSORY KIT 1/4""x22mmx22mmx30' HOSE, 2 PC.GUN & | SKU=5418"
overlap_review,Barrens,Barrens Pricelist 2025.csv,"HURRICANE FLIPPER FSC/UNDERCARRIAGE 21"" S.S. ROTAR",6442,,Barrens,514.60,,"Exact item-name overlap 'HURRICANEFLIPPERFSCUNDERCARRIAGE21SSROTAR': Barrens | Barrens Pricelist 2025.csv | HURRICANE FLIPPER FSC/UNDERCARRIAGE 21"" S.S. ROTAR | SKU=7158"
overlap_review,Barrens,Barrens Pricelist 2025.csv,"HURRICANE FLIPPER FSC/UNDERCARRIAGE 21"" S.S. ROTAR",7158,,Barrens,515.28,,"Exact item-name overlap 'HURRICANEFLIPPERFSCUNDERCARRIAGE21SSROTAR': Barrens | Barrens Pricelist 2025.csv | HURRICANE FLIPPER FSC/UNDERCARRIAGE 21"" S.S. ROTAR | SKU=6442"
